circRNA,disease,miRNA
hsa_circ_0072309,Non-small cell lung cancer,"miR-580-3, miR-607"
hsa_circ_0072309,Renal cell carcinoma,unknown
hsa_circ_0072359,Hepatoblastoma,unknown
hsa_circ_0004873,Gastric cancer,unknown
hsa_circ_0072387/hsa_circRNA_103829,Basal cell carcinoma,unknown
hsa_circ_0072387/hsa_circRNA_103829,Oral squamous cell carcinoma,miR-503-5p
hsa_circ_0072391,Colon cancer,unknown
hsa_circ_0072391,Hepatoblastoma,unknown
hsa_circ_0072391,Endometriosis,unknown
hsa_circ_0072410,Diabetes retinopathy,unknown
hsa_circ_0001481,Prostate cancer,unknown
hsa_circ_0001481,Breast cancer,unknown
hsa_circ_0004840,Osteosarcoma,unknown
hsa_circ_0072566,Colorectal cancer,unknown
hsa_circ_0072567,Colorectal cancer,unknown
hsa_circ_0072568,Colorectal cancer,unknown
hsa_circ_0072568,Osteoarthritis,unknown
hsa_circ_0129276,Neuroblastoma,unknown
hsa_circ_0007915,Liver cancer,unknown
chr5:64096979-64108263,Intestinal injury and repair,"miR-545-5p, miR-607, miR-133a-5p, miR-376a-2-5p, miR-506-3p"
hsa_circ_0008667,Osteoarthritis,unknown
hsa_circ_0072668,Facet joint osteoarthritis,unknown
hsa_circ_0001492,Lung cancer,unknown
has_circ_0001492,Colorectal cancer,unknown
hsa_circ_0071662,Bladder cancer,unknown
circNSUN2,Colorectal cancer,unknown
hsa_circ_0006411,Glioblastoma,unknown
hsa_circ_0006411,Lung cancer,miR-221
hsa_circ_0072758,Laryngeal cancer,unknown
hsa_circ_0001495,Cellular senescence,unknown
hsa_circ_0072765,Radiation-induced liver fibrosis,unknown
hsa_circ_0072995,Epithelial ovarian cancer,miR-147a
hsa_circ_0072995,Bladder cancer,unknown
hsa_circ_0072995,Breast cancer,unknown
hsa_circ_0005777,Bladder cancer,unknown
hsa_circ_0006859,Postmenopausal osteoporosis,unknown
hsa_circ_0007158,Intervertebral disc degeneration,unknown
hsa_circ_0007158,Bladder cancer,unknown
hsa_circ_0073029,Myocarditis,unknown
hsa_circ_0129656,Primary Sjogren's Syndrome,unknown
hsa_circ_0006916,Colorectal cancer,unknown
hsa_circ_0006916,Hepatocellular carcinoma,"miR-1322, miR-599"
hsa_circ_0006916,Lung cancer,unknown
hsa_circ_0002260,Hypopharyngeal carcinoma,"miR-1229-5p, miR-1301-3p"
hsa_circ_103903,Premature ovarian insufficiency,unknown
hsa_circ_0073181,Hepatocellular carcinoma,unknown
hsa_circ_00523,Glioblastoma,unknown
hsa_circ_0071820,Bladder cancer,unknown
hsa_circ_0005540,Multiple system atrophy,unknown
hsa_circ_02559,Glioblastoma,unknown
hsa_circ_0007444,Clear cell renal cell carcinoma,unknown
hsa_circ_0007444,Gastric cancer,unknown
hsa_circ_0007444,Ovarian cancer,unknown
hsa_circ_0007444,Colon cancer,unknown
hsa_circ_001430,Chronic lymphocytic leukemia,unknown
hsa_circRNA_004662,Papillary thyroid carcinoma,"hsa-miR-4520-2-3p, hsa-miR-208b-5p, hsa-miR-4713-5p, hsa-miR-4659b-3p"
hsa_circRNA_104204,Nasopharyngeal carcinoma,unknown
hsa_circ_0006872,Chronic obstructive pulmonary disease,unknown
hsa_circ_0008514,Hepatocellular carcinoma,unknown
hsa_circ_0001633,Prostate cancer,unknown
hsa_circ_0006404,Senescence,unknown
hsa_circ_0006404,Gastric cancer,unknown
hsa_circ_0006404,Glioblastoma,unknown
hsa_circ_0006404,Prostate cancer,unknown
hsa_circ_0006404,Acute myeloid leukemia,unknown
hsa_circ_0006404,Bladder cancer,unknown
hsa_circ_0006404,Esophageal cancer,unknown
hsa_circ_0006404,Osteosarcoma,unknown
hsa_circ_0006404,Breast cancer,"ID-1, E2F1, FAK, HIF1a"
hsa_circ_0006404,Myocardial senescence,unknown
hsa_circ_0006404,Non-small cell lung cancer,"FOXO3, p53"
hsa_circ_0130438,Rheumatoid arthritis,unknown
hsa_circ_0077736,Gastric cancer,unknown
hsa_circ_0077765,Multiple myeloma,unknown
hsa_circ_0077837,Hepatocellular carcinoma,unknown
hsa_circ_0077837,Bladder cancer,unknown
hsa_circ_0077837,Lung cancer,unknown
hsa_circ_0077837,Ovarian endometriosis,unknown
hsa_circ_001640,Early-Stage Lung Adenocarcinoma,unknown
hsa_circ_0005214,Breast cancer,"miR-23b-5p, miR-93-3p, miR-581, miR-23a-5p"
hsa_circ_0001577,Bladder cancer,unknown
hsa_circ_0001577,Polycystic ovary syndrome,unknown
hsa_circ_0004712,Ovarian endometriosis,unknown
hsa_circ_0002198/hsa_circ_0002198,Ovarian endometriosis,unknown
hsa_circ_0130810,Gastric cancer,unknown
hsa_circ_0006835,Gastric cancer,"miR-1306-3p, miR-149-5p"
hsa_circ_0007769,Breast cancer,unknown
hsa_circ_0004826,Bladder cancer,unknown
hsa_circ_0001649/circSHPRH/hsa_circ_001599,Cholangiocarcinoma,unknown
hsa_circ_0001649/circSHPRH/hsa_circ_001599,Colorectal cancer,unknown
hsa_circ_0001649/circSHPRH/hsa_circ_001599,Digestive System Neoplasm,unknown
hsa_circ_0001649/circSHPRH/hsa_circ_001599,Gastric cancer,unknown
hsa_circ_0001649/circSHPRH/hsa_circ_001599,Glioblastoma,unknown
hsa_circ_0001649/circSHPRH/hsa_circ_001599,Hepatocellular carcinoma,unknown
hsa_circ_0001649/circSHPRH/hsa_circ_001599,Non-small cell lung cancer,unknown
hsa_circ_0001649/circSHPRH/hsa_circ_001599,Osteosarcoma,unknown
hsa_circ_0001649/circSHPRH/hsa_circ_001599,Pancreatic cancer,unknown
hsa_circ_0001649/circSHPRH/hsa_circ_001599,Retinoblastoma,unknown
hsa_circ_0007762,Hepatocellular carcinoma,unknown
circ_24831,Osteosarcoma,unknown
hsa_circ_0078297,Pancreatic cancer,unknown
hsa_circ_0001653,Gastric cancer,unknown
hsa_circ_0001658,Osteosarcoma,unknown
hsa_circ_0004587,Inflammation,unknown
hsa_circ_0004662,Ulcerative colitis,unknown
hsa_circ_0004662,Hepatocellular carcinoma,unknown
hsa_circ_0131235,Alzheimer's disease,unknown
hsa_circ_0078602,Hepatocellular carcinoma,"hsa-miR-1207-5p, hsa-miR-6787-5p, hsa-miR-940, hsa-miR-1202, hsa-miR-4459, hsa-miR-3194-5p"
hsa_circ_0078607,Ovarian cancer,unknown
hsa_circ_0131242,Triple negative breast cancer,unknown
hsa_circ_0075686,Glioblastoma,unknown
hsa_circ_0078710,Hepatocellular carcinoma,unknown
hsa_circ_0078715,Gastric cancer,unknown
hsa_circ_0078738,Hepatocellular carcinoma,unknown
hsa_circ_0078738,Papillary thyroid carcinoma,"miR-223, ARC"
hsa_circ_0078768,Pulmonary tuberculosis,unknown
hsa_circ_0001666/hsa_circ_000742,Papillary thyroid carcinoma,unknown
hsa_circ_0078768,Active pulmonary tuberculosis,unknown
hsa_circ_0001666/hsa_circ_000742,Pancreatic cancer,unknown
hsa_circ_0075699,Systemic lupus erythematosus,unknown
hsa_circ_0075804,Retinoblastoma,unknown
hsa_circ_0131457,Non-small cell lung cancer,unknown
hsa_circ_0075825/hsa_circRNA_104081,Basal cell carcinoma,unknown
hsa_circ_0075828,Bladder cancer,unknown
hsa_circ_0075828,Basal cell carcinoma,unknown
hsa_circ_0075829/hsa_circRNA_104083,Basal cell carcinoma,unknown
hsa_circ_0003738,Psoriasis,"miR-562, miR-490-5p"
hsa_circ_0001588,Lung cancer,unknown
hsa_circ_001436,Melanoma,unknown
circZFP57,Prostate cancer,miR-21
hsa_circ_0003906,Colorectal cancer,unknown
hsa_circ_0006109,Atrial fibrillation,unknown
circHLA-C,Lupus nephritis,unknown
circPRRC2A,Renal cell carcinoma,unknown
hsa_circ_0003418,Hepatocellular carcinoma,unknown
hsa_circ_0001568,Intervertebral disc degeneration,unknown
hsa_circ_0001568,Pancreatic cancer,unknown
hsa_circ_0001598/hsa_circ_001437,Breast cancer,unknown
hsa_circ_0001599,Prostate cancer,unknown
hsa_circ_0001599,Endometriosis,unknown
hsa_circ_0076248,Glioblastoma,unknown
hsa_circ_0076251,Hepatocellular carcinoma,unknown
chr6:41250133–41250489,Acute ischemic stroke,unknown
hsa_circ_0076304,Gastric cancer,unknown
hsa_circ_0076305,Gastric cancer,"miR-1252, ITCH"
hsa_circ_0076305,Non-small cell lung cancer,unknown
hsa_circ_0092341/hsa_circ_0040039,Gastric cancer,"hsa-miR-497-5p, hsa-miR-545-3p, hsa-miR-636, hsa-miR-15a-5p, hsa-miR-335-3p"
hsa_circ_001654/hsa_circRNA_001654,Infantile hemangioma,"miR-7, miR-20a, miR-214"
hsa_circ_0076535,Esophageal cancer,unknown
hsa_circ_0076631,Diabetic cardiomyopathy,unknown
hsa_circ_0076690,Osteoporosis,unknown
hsa_circ_0001610,Endometrial carcinoma,"miR-1227, miR-646"
hsa_circ_0076704,Bladder cancer,miR-214
hsa_circ_0008285,Colorectal cancer,unknown
hsa_circ_0008285,Breast cancer,unknown
hsa_circ_0008285,Bladder cancer,unknown
hsa_circ_0008285,Colon cancer,unknown
hsa_circ_0008285,Lung cancer,unknown
hsa_circ_0008285,Mantle cell lymphoma,unknown
hsa_circ_0008285,Multiple myeloma,unknown
hsa_circRNA_16688,Rheumatic heart disease,unknown
hsa_circ_0076808,Uterine leiomyoma,unknown
hsa_circ_0131980,Glioblastoma,unknown
hsa_circ_0076906,Osteoporosis,unknown
hsa_circ_0132246,Bladder cancer,unknown
hsa_circ_14076,Glioblastoma,unknown
hsa_circ_0004136,Multiple myeloma,unknown
hsa_circ_0004136,Acute myeloid leukemia,unknown
hsa_circ_0132266,Chronic lymphocytic leukemia,unknown
hsa_circ_0007874,Bladder cancer,unknown
hsa_circ_0007874,Breast cancer,unknown
hsa_circ_0007874,Cervical cancer,unknown
hsa_circ_0007874,Chronic hepatitis B,unknown
hsa_circ_0007874,Gallbladder cancer,unknown
hsa_circ_0007874,Gastric cancer,unknown
hsa_circ_0007874,Hepatocellular carcinoma,"miR-185-3p, miR-3137, miR-365b-5p, miR-4638-3p, miR-4673, miR-4722-5p, miR-4726-3p, miR-6751-5p, miR-6752-5p, miR-6803-5p, miR-6815-5p"
hsa_circ_0007874,Lung cancer,unknown
hsa_circ_0007874,Osteosarcoma,unknown
hsa_circ_0007874,Ovarian cancer,"miR-760, miR-182-5p"
hsa_circ_0076979,Prostate cancer,unknown
hsa_circ_0001615,Oral squamous cell carcinoma,unknown
hsa_circ_0001615,Colon cancer,unknown
hsa_circ_009755,Oral squamous cell carcinoma,"has-miR-585-5p, has-miR-29a-5p, has-miR-6079"
hsa_circ_0077179,Systemic lupus erythematosus,unknown
hsa_circ_0077232,Glioblastoma,unknown
hsa_circ_0004058,Age-related cataract,unknown
hsa_circ_0004383/cZNF292,Glioblastoma,unknown
hsa_circ_0004383/cZNF292,Hypoxia,unknown
hsa_circ_0004383/cZNF292,Ischaemic heart disease,"hsa-miR-122-5p, hsa-miR-574-5p, hsa-miR-493-5p, hsa-miR-380-5p, hsa-miR-92a-2-5p"
hsa_circ_0004058,Hepatocellular carcinoma,unknown
hsa_circ_0001626,Acute pancreatitis,unknown
hsa_circ_0001627,Papillary thyroid carcinoma,unknown
hsa_circ_0001627,Demyelinating disease,unknown
hsa_circ_0077425,Osteoarthritis,unknown
hsa_circ_081069,Tongue squamous cell carcinoma,unknown
circRNA2713,Preeclampsia,"hsa-miR-193a-3p, hsa-miR-30c-1-3p, hsa-miR-3138, hsa-miR-3679-5p, hsa-miR-3934-5p, hsa-miR-4317"
hsa_circ_0081519,Glioblastoma,unknown
hsa_circ_0001730,Glioblastoma,unknown
hsa_circ_0081566,Uterine leiomyoma,unknown
hsa_circ_0132813,Neuroblastoma,unknown
hsa_circ_0132876,Diabetic cataract,miR-204-5p
hsa_circ_0132980,Cervical cancer,unknown
hsa_circ_0081963,Bladder cancer,unknown
hsa_circ_0082002,Hepatocellular carcinoma,unknown
hsa_circ_0082003,Non-small cell lung cancer,unknown
hsa_circ_0133159,Glioblastoma,unknown
hsa_circ_0082081,Coronary artery disease,unknown
hsa_circ_0082182,Colorectal cancer,unknown
hsa_circ_0001741,Hepatocellular carcinoma,unknown
hsa_circ_0001742,Glioblastoma,unknown
hsa_circ_0001742,Tongue squamous cell carcinoma,"miR-634, miR-431"
circ_SMO,Glioblastoma,unknown
circRNASMO,PDLSC osteogenis,unknown
hsa_circ_0082333,Colorectal cancer,unknown
hsa_circ_0002190,Colorectal cancer,unknown
hsa_circ_0082352,Demyelinating disease,unknown
hsa_circ_0082374,Non-small cell lung cancer,unknown
hsa_circ_0082374,Glioblastoma,"let-7, miR-326"
hsa_circ_0082415,Retinoblastoma,unknown
hsa_circ_0005538,Pulmonary tuberculosis,"miR-141, TGF-beta1"
hsa_circ_0003949,Glioblastoma,unknown
hsa_circ_0003949,Hepatocellular carcinoma,unknown
hsa_circ_0133460,Uveal melanoma,"hsa-let-7a-2-3p, hsa-let-7c-3p, hsa-miR-193a-5p"
hsa_circ_0082582,Bladder cancer,miR-497
hsa_circ_0001756,Ovarian cancer,unknown
hsa_circ_0079471,Gastrointestinal stromal tumour,unknown
hsa_circ_0082688,Systemic lupus erythematosus,unknown
hsa_circ_0082689,Systemic lupus erythematosus,unknown
hsa_circ_0002142,Glioblastoma,unknown
hsa_circ_0007518,Non-small cell lung cancer,unknown
hsa_circ_0006460,Glioblastoma,unknown
hsa_circ_0002980,Hepatocellular carcinoma,"hsa-miR-1303, hsa-miR-142-5p, hsa-miR-877-5p"
hsa_circ_0133622,Neuroblastoma,unknown
hsa_circ_0082824,Coronary artery disease,unknown
hsa_circ_0006357,Periventricular white matter damage,unknown
hsa_circ_0082846,Glioblastoma,unknown
hsa_circ_0001766,Oral squamous cell carcinoma,unknown
circ7780,Colorectal cancer,unknown
chr7:154954255-154998784,Pancreatic cancer,unknown
hsa_circ_0001772,Gastric cancer,unknown
hsa_circ_0001772,Cervical cancer,unknown
hsa_circ_0083176,Periventricular white matter damage,unknown
hsa_circ_0001776,Endometrial cancer,unknown
hsa_circ_0079480,Colon cancer,unknown
hsa_circ_0005519,Asthma,unknown
hsa_circ_0003594,Alzheimer's disease,unknown
hsa_circ_0079530,Non-small cell lung cancer,miR-558
hsa_circ_0079549,Hepatoblastoma,unknown
hsa_circ_0001681,Papillary thyroid carcinoma,unknown
hsa_circ_0001681,Renal cell carcinoma,unknown
hsa_circ_0001681,Colorectal cancer,unknown
hsa_circ_0008951,Ovarian endometriosis,unknown
hsa_circ_0001971,Oral squamous cell carcinoma,unknown
hsa_circ_0079586,Glioblastoma,unknown
hsa_circ_0079593,Glioblastoma,unknown
hsa_circ_0079593,Malignant melanoma,unknown
hsa_circ_0001687,Parathyroid carcinoma,unknown
hsa_circ_0079662,Colorectal cancer,unknown
hsa_circRNA_002086,Ventricular septal defect,unknown
hsa_circ_0134111,Osteoarthritis,unknown
circ_32279,Osteosarcoma,unknown
hsa_circ_0079787,Axial spondyloarthritis,unknown
hsa_circ_0079876,Breast cancer,unknown
hsa_circ_0079891,Hepatocellular carcinoma,unknown
hsa_circ_0079891,Papillary thyroid carcinoma,unknown
hsa_circ_0079929,Thoracic aortic dissection,unknown
hsa_circ_0079929,Hepatocellular carcinoma,unknown
circ_STK17A,Temporal Lobe Epilepsy,unknown
hsa_circ_0079993,Colorectal cancer,unknown
hsa_circ_0003340,Esophageal cancer,unknown
hsa_circ_0005004,Breast cancer,unknown
hsa_circ_19159,Glioblastoma,unknown
hsa_circ_0080145,Chronic myeloid leukemia,"miR-29b, miR-326"
hsa_circ_0006229,Colorectal cancer,miR-130a-3p
hsa_circ_0080189/hsa_circRNA_104370,Basal cell carcinoma,unknown
hsa_circ_0080210/circ-GRB10,Intervertebral disc degeneration,unknown
hsa_circ_0006772,Preeclampsia,unknown
circRNA4628,Esophageal cancer,unknown
hsa_circRNA_17558,Rheumatic heart disease,unknown
hsa_circ_0079278,Parathyroid carcinoma,unknown
hsa_circ_0134501,Chronic myeloid leukemia,unknown
hsa_circ_0134501,Non-small cell lung cancer,unknown
hsa_circ_0079385,Infantile hemangioma,"miR-499a-3p, miR-1271-3p, miR-216a-3p, miR-197-3p, , miR-489-3p"
hsa_circ_0008039,Breast cancer,"miR-432-5p, miR-515-5p"
hsa_circ_0008039,Colon cancer,unknown
hsa_circ_0001714,Cholangiocarcinoma,unknown
hsa_circ_0001715,Lung cancer,unknown
hsa_circ_0007841,Multiple myeloma,unknown
hsa_circ_0002755,Glioblastoma,unknown
hsa_circ_0002755,Ovarian cancer,unknown
hsa_circ_0006766,Postmenopausal Osteoporosis,"miR-195-5p, miR-29a-3p, miR-29c-3p, CDC42, AR"
hsa_circ_0008139,Hypertension,unknown
hsa_circ_0001667/hsa_circ_001717,Breast cancer,unknown
hsa_circ_0003159,Gastric cancer,unknown
hsa_circ_0134944,Osteoporosis,unknown
hsa_circ_0004674,Oral squamous cell carcinoma,unknown
hsa_circ_0004674,Osteosarcoma,unknown
hsa_circ_0080975,Osteosarcoma,unknown
hsa_circ_0004015,Non-small cell lung cancer,unknown
hsa_circ_0001721,Breast cancer,unknown
hsa_circRNA_104423,Gastric cancer,unknown
hsa_circ_0001721,Osteosarcoma,"miR-569, miR-599, miR-372-3p"
hsa_circ_0001721,Prostate cancer,unknown
hsa_circ_0007299,Endometriosis,unknown
hsa_circ_0081000,Colon cancer,unknown
hsa_circ_0081001,Osteosarcoma,unknown
hsa_circ_0009112,Osteosarcoma,unknown
hsa_circ_000984/hsa_circ_0001724,Colorectal cancer,unknown
hsa_circ_000984/hsa_circ_0001724,Non-small cell lung cancer,unknown
hsa_circ_0081047,Osteoporosis,unknown
hsa_circ_0081143,Gastric cancer,unknown
hsa_circ_0081146,Gastric cancer,unknown
hsa_circ_0081162,Diabetes retinopathy,"hsa-miR-324-3p, hsa-miR-660-3p, hsa-miR-646, hsa-miR-214-3p, hsa-miR-628-5p"
hsa_circ_0001725,Gastric cancer,unknown
hsa_circ_0081342,Gastric cancer,unknown
hsa_circ_0081342,Papillary thyroid carcinoma,"hsa-miR-497-5p, hsa-miR-545-3p, hsa-miR-636, hsa-miR-15a-5p, hsa-miR-335-3p"
hsa_circ_0001727,Bladder cancer,unknown
hsa_circ_0001727,Hepatocellular carcinoma,unknown
hsa_circ_0085131,Non-small cell lung cancer,unknown
hsa_circ_0085154,Hepatocellular carcinoma,unknown
hsa_circ_0005962,Lung cancer,"hsa-miR-369-5p, hsa-miR-626, hsa-miR-326, hsa-miR-330-5p, hsa-miR-1265, hsa-miR-622"
circ_UBR5,Non-small cell lung cancer,unknown
hsa_circ_0001819,Lupus nephritis,"miR-455-3p, let-7g-5p, miR-876-3p, miR-661, miR-323a-5p"
hsa_circ_0001819,Non-small cell lung cancer,unknown
hsa_circ_0007374,Colorectal cancer,"miR-324-5p, miR-640, miR-885-3p, miR-103a-3p"
hsa_circ_0085289,Periodontitis,unknown
hsa_circ_0005114,Glioblastoma,unknown
hsa_circ_0003380,Ovarian endometriosis,unknown
hsa_circ_0006950,Prostate cancer,unknown
hsa_circ_0083357,Coronary artery disease,unknown
hsa_circ_0008035,Osteosarcoma,unknown
hsa_circ_0008035,Bladder cancer,unknown
hsa_circ_0008035,Gastric cancer,miR-375
hsa_circ_0085428,Proliferative vitreoretinopathy,unknown
hsa_circ_0005015,Diabetes retinopathy,unknown
hsa_circ_0085495,Breast cancer,unknown
hsa_circ_0085495,Colon cancer,unknown
hsa_circ_0085533,Melanoma,unknown
hsa_circ_0085534,Parathyroid carcinoma,unknown
hsa_circ_0009143,Cervical cancer,unknown
hsa_circ_0001821,Colorectal cancer,unknown
hsa_circ_0001821,Epithelial ovarian cancer,unknown
hsa_circ_0001821,Esophageal cancer,unknown
hsa_circ_0001821,Oral squamous cell carcinoma,miR‑125b
hsa_circ_0001821,Clear cell renal cell carcinoma,unknown
hsa_circ_0001821,Acute myeloid leukemia,unknown
hsa_circ_0001821,Breast cancer,"miR-29a-3p, miR-204-5p"
hsa_circ_0001821,Gastric cancer,miR‑195‑5p
hsa_circ_0001821,Lung cancer,"miR-185-3p, miR-296-3p, miR-4420, miR-4646-3p, miR-4743-3p, miR-4755-5p, miR-623, miR-670-5p, miR-6804-5p, miR-7108-5p"
hsa_circ_0001821,Osteosarcoma,"miR-125a, miR-125b, let-7b"
hsa_circ_0085553,Gastric cancer,unknown
hsa_circ_0135718,Hepatocellular carcinoma,unknown
hsa_circ_0085567,Breast cancer,unknown
hsa_circ_0001824,Breast cancer,"hsa-miR-627-3p, hsa-miR-143-5p, hsa-miR-656-3p, hsa-miR-376a-5p, hsa-miR-222-5p"
hsa_circ_0085616,Cervical cancer,unknown
hsa_circ_0085616,Gastric cancer,unknown
hsa_circ_0085616,Hepatocellular carcinoma,unknown
hsa_circ_0004380,Colorectal cancer,unknown
hsa_circ_0005273,Multiple myeloma,unknown
hsa_circ_0005273,Colorectal cancer,unknown
hsa_circ_0005273,Bladder cancer,"hsa-miR-450b-5p, hsa-miR-205-3p, hsa-miR-95-5p, hsa-miR-329-5p, hsa-miR-19b-2-5p"
hsa_circ_0005273,Breast cancer,unknown
hsa_circ_0005273,Papillary thyroid carcinoma,unknown
hsa_circ_0003171,Primary great saphenous vein varicosities,unknown
hsa_circ_0008305,Non-small cell lung cancer,unknown
hsa_circ_0008305,Hepatocellular carcinoma,unknown
hsa_circ_0008305,Intervertebral disc degeneration,unknown
hsa_circ_0002062,chronic thromboembolic pulmonary hypertension,unknown
hsa_circ_0008345,Glioblastoma,unknown
hsa_circ_0002908,Pulmonary tuberculosis,unknown
hsa_circ_0002162,Tongue squamous cell carcinoma,unknown
hsa_circ_0003221/circPTK2,Bladder cancer,unknown
hsa_circ_0003221,Gastric cancer,unknown
hsa_circ_0002483,Non-small cell lung cancer,unknown
hsa_circ_0002483,Acute myeloid leukemia,unknown
hsa_circ_0001829,Gastric cancer,unknown
hsa_circ_0083429,Osteoarthritis,unknown
hsa_circ_0083444,Conjunctival melanoma,unknown
hsa_circ_0002111,Hepatocellular carcinoma,unknown
hsa_circ_0002111,Papillary thyroid carcinoma,"hsa-miR-450b-5p, hsa-miR-205-3p, hsa-miR-103a-2-5p, hsa-miR-95-5p, hsa-miR-329-5p"
hsa_circ_0004458,Gastric cancer,unknown
hsa_circRNA_104566,Papillary thyroid carcinoma,unknown
hsa_circ_0083682,Glioblastoma,unknown
hsa_circRNA_002131,Lung cancer,"hsa-miR-136-5p, hsa-miR-627-3p, hsa-miR-942-5p, hsa-miR-6500-5p, hsa-miR-5003-3p"
circELP3,Bladder cancer,unknown
hsa_circ_0001785/hsa_circ_001447,Breast cancer,"hsa-miR-591, hsa-miR-7-5p, hsa-miR-660-5p, hsa-miR-144-5p, hsa-miR-452-3p"
hsa_circ_0001785/hsa_circ_001447,Osteosarcoma,unknown
hsa_circ_0006539,Bladder cancer,unknown
hsa_circ_0083920,Uterine leiomyoma,unknown
hsa_circ_0005630,Ovarian cancer,unknown
hsa_circ_0136474,Osteoarthritis,unknown
hsa_circ_0083964,Rheumatoid arthritis,unknown
hsa_circ_0084003,Non-small cell lung cancer,unknown
hsa_circ_0008016,Papillary thyroid carcinoma,"hsa-miR-412-3p, hsa-miR-363-5p, hsa-miR-608, hsa-miR-564, hsa-miR-196b-3p"
hsa_circ_0008016,Ovarian endometriosis,unknown
hsa_circ_0084021,Colorectal cancer,unknown
hsa_circRNA_104597,Schizophrenia,unknown
hsa_circ_001197,Breast cancer,unknown
hsa_circ_0084097,Gastrointestinal stromal tumour,unknown
hsa_circ_0005927,Colorectal cancer,unknown
hsa_circ_0005927,Gastric cancer,unknown
hsa_circ_0001795,Postmenopausal osteoporosis,unknown
hsa_circ_0084171,Bladder cancer,unknown
hsa_circ_0084188,Colorectal cancer,unknown
hsa_circ_0136666,Colorectal cancer,miR-383
hsa_circ_0136666,Osteosarcoma,unknown
hsa_circ_0084353,Colorectal cancer,"hsa-miR-1264, hsa-miR-490-3p, hsa-miR-619-3p, hsa-miR-23a-3p, hsa-miR-23b-3p"
hsa_circ_0084443,Diabetic foot ulcer,unknown
hsa_circ_0001801,Glioblastoma,unknown
hsa_circ_0001801,Ovarian cancer,unknown
hsa_circ_0006022,Gastric cancer,unknown
hsa_circ_0003183,Breast cancer,unknown
hsa_circ_0084606,Gastric cancer,miR-130a-3p
hsa_circ_0084615,Thoracic aortic dissection,unknown
hsa_circ_0084663,Hepatocellular carcinoma,unknown
hsa_circ_0136959,Cervical cancer,unknown
hsa_circ_0001806,Ovarian cancer,unknown
hsa_circ_0001806,Colorectal cancer,unknown
hsa_circ_0001806,Hepatocellular carcinoma,unknown
hsa_circ_0001806,Non-small cell lung cancer,unknown
hsa_circ_0142527,Colorectal cancer,unknown
hsa_circ_0084720,Gastric cancer,unknown
hsa_circ_0137084,Cervical cancer,unknown
hsa_circ_0002503,Ovarian endometriosis,unknown
hsa_circ_0006282,Gastric cancer,unknown
chr8:79343654-79372364,Intestinal injury and repair,unknown
hsa_circ_0006057,Diabetic cataract,miR-204-5p
hsa_circ_0084043,Malignant melanoma,unknown
hsa_circ_0084859,Uterine leiomyoma,unknown
hsa_circ_0137287,Papillary thyroid carcinoma,unknown
hsa_circ_0084922,Hepatocellular carcinoma,unknown
hsa_circ_0006896,Atherosclerosis,unknown
hsa_circ_0084927,Cervical cancer,unknown
hsa_circ_0084927,Acne,unknown
hsa_circ_0084927,Cervical cancer,unknown
hsa_circ_0084927,Small cell lung cancer,unknown
hsa_circ_0137439,Bladder cancer,unknown
hsa_circ_0003214,Hypopharyngeal carcinoma,unknown
hsa_circ_0085013,Pterygium,unknown
hsa_circ_0085019,Pterygium,unknown
hsa_circ_0085020,Pterygium,unknown
hsa_circRNA_104804,Gastric cancer,unknown
hsa_circRNA_007850,Hepatic steatosis,unknown
hsa_circ_407176,Primary biliary cirrhosis,unknown
hsa_circ_0087784,Breast cancer,unknown
hsa_circ_0137606,Bladder cancer,unknown
hsa_circ_0001879,Coronary artery disease,unknown
hsa_circ_0006174,Colorectal cancer,unknown
hsa_circ_0087862,Colorectal cancer,unknown
hsa_circ_0087862,Demyelinating disease,unknown
hsa_circ_0087862,Esophageal cancer,unknown
hsa_circ_0087862,Lung cancer,"hsa-miR-138-5p, hsa-miR-325, hsa-miR-593-3p, hsa-miR-512-3p, hsa-miR-766-5p"
hsa_circRNA_20118,Rheumatic heart disease,unknown
hsa_circ_0003611,Alzheimer's disease,unknown
hsa_circ_0087960,Bladder cancer,miR-762
hsa_circ_0008043,Hepatocellular carcinoma,unknown
hsa_circ_0088030,Hepatocellular carcinoma,unknown
hsa_circ_0003731,Hepatocellular carcinoma,unknown
hsa_circ_104871,Rheumatoid arthritis,unknown
hsa_circ_0088088,Breast cancer,unknown
hsa_circ_0088196,Preeclampsia,unknown
hsa_circ_0002052,Osteosarcoma,"miR-1205, miR-382"
hsa_circ_0008792,Oral squamous cell carcinoma,unknown
hsa_circ_0088227,Preeclampsia,unknown
hsa_circ_0088233,Prostate cancer,unknown
hsa_circ_0137814,Chronic hepatitis B,unknown
hsa_circ_0088344,Pterygium,unknown
hsa_circ_0088364,Hepatocellular carcinoma,unknown
hsa_circ_0088422,Osteoporosis,unknown
hsa_circ_0088452,Active pulmonary tuberculosis,"miR-877-3p, miR-876-5p, miR-181b-2-3p, miR-181b-3p, miR-627-3p"
hsa_circ_0088442,Laryngeal cancer,unknown
hsa_circ_0088483,Thyroid cancer,unknown
hsa_circRNA_104916,Gastric cancer,unknown
hsa_circRNA_104916,Colorectal cancer,unknown
hsa_circ_0088708,Bladder cancer,unknown
hsa_circ_0005931,Hepatoblastoma,unknown
hsa_circ_0088732,Glioblastoma,unknown
hsa_circ_0088732,Intervertebral disc degeneration,"miR-1343-5p, miR-939-5p, miR-6825-5p, miR-3151-5p, miR-3175"
